#
# MD1: a minimal molecular dynamics program
#    modified version (10/08/2010)
#
# Equilibration run
#  Input sample: ../Task2/Step1_Startup/sample12.dat
#          (positions, velocities, accelerations read from file)
# Output sample: ../Task2/Step1_Startup/sampleT94.4.dat
# Number of steps:     800, time step: 0.0046, total time:      3.6800
# Number of atoms:   864
# Box size:   10.228800   10.228800   10.228800, Volume:       1070.222
# Density:    0.807309 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
    717      0.765797      1.148695     -4.914923     -3.766228      0.732125
    718      0.768376      1.152564     -4.918805     -3.766241      0.716506
    719      0.771147      1.156721     -4.922973     -3.766252      0.699848
    720      0.774017      1.161026     -4.927283     -3.766258      0.683106
    721      0.776906      1.165358     -4.931625     -3.766267      0.666116
    722      0.779718      1.169577     -4.935854     -3.766277      0.649964
    723      0.782343      1.173515     -4.939799     -3.766284      0.634840
    724      0.784680      1.177020     -4.943312     -3.766292      0.621845
    725      0.786652      1.179978     -4.946274     -3.766296      0.611208
    726      0.788197      1.182296     -4.948597     -3.766301      0.602634
    727      0.789260      1.183891     -4.950201     -3.766310      0.597599
    728      0.789790      1.184685     -4.950999     -3.766314      0.595190
    729      0.789777      1.184665     -4.950973     -3.766308      0.596095
    730      0.789301      1.183952     -4.950243     -3.766291      0.600080
    731      0.788559      1.182838     -4.949103     -3.766265      0.605362
    732      0.787836      1.181754     -4.947988     -3.766234      0.610558
    733      0.787454      1.181181     -4.947386     -3.766205      0.614280
    734      0.787698      1.181547     -4.947735     -3.766188      0.615676
    735      0.788718      1.183077     -4.949267     -3.766190      0.612748
    736      0.790451      1.185677     -4.951889     -3.766212      0.606632
    737      0.792634      1.188951     -4.955191     -3.766240      0.599408
    738      0.794909      1.192363     -4.958631     -3.766268      0.591605
    739      0.796926      1.195389     -4.961681     -3.766291      0.586103
    740      0.798381      1.197571     -4.963880     -3.766309      0.583313
    741      0.799024      1.198535     -4.964858     -3.766323      0.585656
    742      0.798688      1.198032     -4.964360     -3.766328      0.593002
    743      0.797331      1.195997     -4.962314     -3.766317      0.606356
    744      0.795054      1.192581     -4.958876     -3.766295      0.624673
    745      0.792076      1.188113     -4.954384     -3.766270      0.646821
    746      0.788663      1.182994     -4.949246     -3.766251      0.671560
    747      0.785040      1.177560     -4.943804     -3.766244      0.697049
    748      0.781346      1.172019     -4.938264     -3.766245      0.723690
    749      0.777646      1.166468     -4.932716     -3.766248      0.750587
    750      0.773986      1.160979     -4.927222     -3.766243      0.777314
    751      0.770473      1.155709     -4.921939     -3.766229      0.802359
    752      0.767295      1.150942     -4.917155     -3.766212      0.824788
    753      0.764661      1.146991     -4.913195     -3.766204      0.844185
    754      0.762702      1.144053     -4.910266     -3.766213      0.860077
    755      0.761396      1.142095     -4.908329     -3.766234      0.871810
    756      0.760599      1.140898     -4.907155     -3.766257      0.879820
    757      0.760178      1.140267     -4.906527     -3.766260      0.885016
    758      0.760144      1.140216     -4.906462     -3.766246      0.888140
    759      0.760628      1.140942     -4.907177     -3.766235      0.887342
    760      0.761713      1.142570     -4.908816     -3.766246      0.882933
    761      0.763287      1.144931     -4.911203     -3.766273      0.874949
    762      0.765093      1.147640     -4.913932     -3.766292      0.864966
    763      0.766899      1.150349     -4.916646     -3.766297      0.855044
    764      0.768592      1.152889     -4.919181     -3.766292      0.845137
    765      0.770168      1.155253     -4.921537     -3.766285      0.835663
    766      0.771655      1.157483     -4.923764     -3.766281      0.826721
    767      0.773049      1.159573     -4.925855     -3.766282      0.817018
    768      0.774295      1.161442     -4.927733     -3.766291      0.808643
    769      0.775293      1.162940     -4.929245     -3.766305      0.801421
    770      0.775910      1.163865     -4.930186     -3.766321      0.795723
    771      0.776015      1.164022     -4.930350     -3.766328      0.792669
    772      0.775536      1.163304     -4.929629     -3.766324      0.792113
    773      0.774521      1.161782     -4.928088     -3.766306      0.793537
    774      0.773158      1.159738     -4.926015     -3.766277      0.795402
    775      0.771751      1.157626     -4.923870     -3.766243      0.797327
    776      0.770658      1.155988     -4.922198     -3.766210      0.796686
    777      0.770227      1.155340     -4.921525     -3.766185      0.792937
    778      0.770727      1.156090     -4.922260     -3.766170      0.784177
    779      0.772311      1.158466     -4.924633     -3.766166      0.769690
    780      0.774982      1.162473     -4.928648     -3.766175      0.749208
    781      0.778614      1.167922     -4.934110     -3.766188      0.723057
    782      0.783001      1.174501     -4.940711     -3.766210      0.693164
    783      0.787865      1.181797     -4.948033     -3.766236      0.660519
    784      0.792878      1.189316     -4.955583     -3.766266      0.627480
    785      0.797663      1.196494     -4.962794     -3.766299      0.597106
    786      0.801827      1.202740     -4.969071     -3.766331      0.569560
    787      0.804998      1.207498     -4.973853     -3.766355      0.547868
    788      0.806901      1.210351     -4.976716     -3.766365      0.534130
    789      0.807407      1.211110     -4.977471     -3.766361      0.528529
    790      0.806545      1.209818     -4.976163     -3.766345      0.529952
    791      0.804480      1.206721     -4.973043     -3.766323      0.538525
    792      0.801463      1.202195     -4.968491     -3.766296      0.553035
    793      0.797793      1.196690     -4.962960     -3.766270      0.571924
    794      0.793783      1.190675     -4.956922     -3.766247      0.593626
    795      0.789715      1.184572     -4.950804     -3.766232      0.616170
    796      0.785804      1.178707     -4.944930     -3.766224      0.638560
    797      0.782189      1.173283     -4.939503     -3.766220      0.659924
    798      0.778960      1.168439     -4.934654     -3.766215      0.679916
    799      0.776211      1.164317     -4.930525     -3.766208      0.697761
    800      0.774049      1.161074     -4.927274     -3.766200      0.712091
#
# Means      0.782945      1.174418     -4.940675     -3.766257      0.632611
