#
# MD1: a minimal molecular dynamics program
#    modified version (10/08/2010)
#
# Direct sampling of S(k)
#  Input sample: ../Task2/Step1_Startup/sampleT94.4.dat
#          (positions, velocities, accelerations read from file)
# Output sample: ../Task2/Step1_Startup/sample22.dat
# Number of steps:    9000, time step: 0.0046, total time:     41.4000
# Number of atoms:   864
# Box size:   10.228800   10.228800   10.228800, Volume:       1070.222
# Density:    0.807309 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
    372      0.740774      1.111161     -4.918566     -3.807405      0.696355
    373      0.736521      1.104782     -4.912122     -3.807340      0.713427
    374      0.733723      1.100584     -4.907883     -3.807299      0.722640
    375      0.732794      1.099190     -4.906482     -3.807292      0.722867
    376      0.733789      1.100683     -4.908000     -3.807317      0.713413
    377      0.736439      1.104659     -4.912018     -3.807359      0.695667
    378      0.740290      1.110435     -4.917836     -3.807401      0.670910
    379      0.744845      1.117267     -4.924704     -3.807437      0.642690
    380      0.749642      1.124463     -4.931932     -3.807469      0.612598
    381      0.754289      1.131434     -4.938923     -3.807490      0.584238
    382      0.758484      1.137726     -4.945228     -3.807502      0.557398
    383      0.762040      1.143060     -4.950562     -3.807503      0.533763
    384      0.764918      1.147377     -4.954863     -3.807487      0.513627
    385      0.767230      1.150845     -4.958302     -3.807458      0.496421
    386      0.769202      1.153803     -4.961229     -3.807426      0.481210
    387      0.771113      1.156670     -4.964068     -3.807399      0.466596
    388      0.773211      1.159816     -4.967198     -3.807382      0.451438
    389      0.775642      1.163463     -4.970838     -3.807375      0.435307
    390      0.778425      1.167638     -4.975020     -3.807382      0.418315
    391      0.781461      1.172191     -4.979589     -3.807398      0.400739
    392      0.784566      1.176849     -4.984268     -3.807419      0.383062
    393      0.787509      1.181263     -4.988706     -3.807443      0.367335
    394      0.790040      1.185059     -4.992529     -3.807469      0.353576
    395      0.791902      1.187852     -4.995347     -3.807494      0.344161
    396      0.792856      1.189283     -4.996798     -3.807515      0.340214
    397      0.792712      1.189067     -4.996594     -3.807527      0.343160
    398      0.791378      1.187066     -4.994590     -3.807524      0.352028
    399      0.788908      1.183362     -4.990871     -3.807509      0.367148
    400      0.785501      1.178251     -4.985736     -3.807484      0.386890
    401      0.781450      1.172176     -4.979632     -3.807456      0.410317
    402      0.777088      1.165632     -4.973063     -3.807431      0.435865
    403      0.772712      1.159068     -4.966484     -3.807416      0.461284
    404      0.768556      1.152834     -4.960241     -3.807406      0.485431
    405      0.764804      1.147205     -4.954601     -3.807396      0.508061
    406      0.761623      1.142435     -4.949816     -3.807381      0.526738
    407      0.759217      1.138826     -4.946186     -3.807360      0.541542
    408      0.757842      1.136763     -4.944097     -3.807334      0.550677
    409      0.757763      1.136645     -4.943963     -3.807318      0.552663
    410      0.759135      1.138702     -4.946028     -3.807326      0.547085
    411      0.761847      1.142771     -4.950139     -3.807368      0.534975
    412      0.765470      1.148204     -4.955637     -3.807432      0.517503
    413      0.769354      1.154031     -4.961525     -3.807494      0.498818
    414      0.772848      1.159272     -4.966809     -3.807536      0.482204
    415      0.775482      1.163223     -4.970774     -3.807550      0.469685
    416      0.777041      1.165562     -4.973102     -3.807540      0.462875
    417      0.777576      1.166365     -4.973876     -3.807512      0.460974
    418      0.777359      1.166038     -4.973509     -3.807471      0.463780
    419      0.776784      1.165176     -4.972605     -3.807429      0.468712
    420      0.776251      1.164376     -4.971776     -3.807400      0.473478
    421      0.776044      1.164065     -4.971454     -3.807389      0.477480
    422      0.776257      1.164385     -4.971784     -3.807398      0.479556
    423      0.776798      1.165196     -4.972618     -3.807421      0.479879
    424      0.777456      1.166184     -4.973630     -3.807445      0.480736
    425      0.778000      1.167000     -4.974465     -3.807464      0.482570
    426      0.778258      1.167387     -4.974859     -3.807472      0.486296
    427      0.778156      1.167234     -4.974702     -3.807468      0.491423
    428      0.777707      1.166560     -4.974021     -3.807461      0.497913
    429      0.776967      1.165450     -4.972904     -3.807454      0.505952
    430      0.775994      1.163991     -4.971441     -3.807450      0.514840
    431      0.774830      1.162245     -4.969693     -3.807448      0.524572
    432      0.773498      1.160247     -4.967694     -3.807447      0.535320
    433      0.772004      1.158006     -4.965456     -3.807450      0.547084
    434      0.770324      1.155487     -4.962945     -3.807458      0.559308
    435      0.768394      1.152591     -4.960060     -3.807469      0.572848
    436      0.766122      1.149183     -4.956662     -3.807480      0.588130
    437      0.763427      1.145141     -4.952625     -3.807484      0.605257
